origin,destination,flow
1,2,0.025069368014757173
1,3,0.029564725395668956
1,4,0.07764567283099007
1,5,0.018175194927996775
2,1,0.025069368014757173
2,3,0.05037512982282091
2,4,0.05306071832710701
2,5,0.012873773464990466
3,1,0.029564725395668956
3,2,0.05037512982282091
3,4,0.1361589496364961
3,5,0.023081334966129807
4,1,0.07764567283099007
4,2,0.05306071832710701
4,3,0.1361589496364961
4,5,0.07399513261304273
5,1,0.018175194927996775
5,2,0.012873773464990466
5,3,0.023081334966129807
5,4,0.07399513261304273
