node_id,x,y,name,cab_original_index
1,-279.66010887049157,-311.6153716666402,CAB node 1,1
2,-702.4002197061141,81.03867236342718,CAB node 2,2
3,-972.6322297691856,333.0886024000943,CAB node 3,3
4,-117.1308589721665,263.4554770537737,CAB node 4,4
5,-273.70798313102165,62.14983862315752,CAB node 5,5
6,-426.47567271572825,228.55555949913946,CAB node 6,6
7,429.3474525469497,-307.2048053448446,CAB node 7,7
8,790.2032529905605,250.03405373794163,CAB node 8,8
9,-352.97191516640436,287.5640311189961,CAB node 9,9
10,382.4397114848363,-523.6013441157229,CAB node 10,10
11,257.61167800314837,106.35981514622121,CAB node 11,11
12,1615.6706835491132,85.91713817315726,CAB node 12,12
13,32.91108963984128,-198.33724863182064,CAB node 13,13
14,-523.7566498169068,-851.5725279486685,CAB node 14,14
15,140.55176993356815,494.16810959178974,CAB node 15,15
