origin,destination,flow
1,1,0.0
1,2,6469.0
1,3,7629.0
1,4,20036.0
1,5,4690.0
1,6,6194.0
1,7,11688.0
1,8,2243.0
1,9,8857.0
1,10,7248.0
1,11,3559.0
1,12,9221.0
1,13,10099.0
1,14,22866.0
1,15,3388.0
2,1,6469.0
2,2,0.0
2,3,12999.0
2,4,13692.0
2,5,3322.0
2,6,5576.0
2,7,3878.0
2,8,3202.0
2,9,6699.0
2,10,4198.0
2,11,2454.0
2,12,7975.0
2,13,1186.0
2,14,7443.0
2,15,1162.0
3,1,7629.0
3,2,12999.0
3,3,0.0
3,4,35135.0
3,5,5956.0
3,6,14121.0
3,7,5951.0
3,8,5768.0
3,9,16578.0
3,10,4242.0
3,11,3365.0
3,12,22254.0
3,13,1841.0
3,14,23665.0
3,15,6517.0
4,1,20036.0
4,2,13692.0
4,3,35135.0
4,4,0.0
4,5,19094.0
4,6,35119.0
4,7,21423.0
4,8,27342.0
4,9,51341.0
4,10,15826.0
4,11,28537.0
4,12,65387.0
4,13,12980.0
4,14,44097.0
4,15,51525.0
5,1,4690.0
5,2,3322.0
5,3,5956.0
5,4,19094.0
5,5,0.0
5,6,7284.0
5,7,3102.0
5,8,1562.0
5,9,7180.0
5,10,1917.0
5,11,2253.0
5,12,5951.0
5,13,1890.0
5,14,7097.0
5,15,2009.0
6,1,6194.0
6,2,5576.0
6,3,14121.0
6,4,35119.0
6,5,7284.0
6,6,0.0
6,7,5023.0
6,8,3512.0
6,9,10419.0
6,10,3543.0
6,11,2752.0
6,12,14412.0
6,13,2043.0
6,14,15642.0
6,15,5014.0
7,1,11688.0
7,2,3878.0
7,3,5951.0
7,4,21423.0
7,5,3102.0
7,6,5023.0
7,7,0.0
7,8,11557.0
7,9,6479.0
7,10,34261.0
7,11,10134.0
7,12,27350.0
7,13,6929.0
7,14,7961.0
7,15,4678.0
8,1,2243.0
8,2,3202.0
8,3,5768.0
8,4,27342.0
8,5,1562.0
8,6,3512.0
8,7,11557.0
8,8,0.0
8,9,5615.0
8,10,7095.0
8,11,10753.0
8,12,30362.0
8,13,1783.0
8,14,3437.0
8,15,8897.0
9,1,8857.0
9,2,6699.0
9,3,16578.0
9,4,51341.0
9,5,7180.0
9,6,10419.0
9,7,6479.0
9,8,5615.0
9,9,0.0
9,10,4448.0
9,11,5076.0
9,12,22463.0
9,13,4783.0
9,14,24609.0
9,15,9969.0
10,1,7248.0
10,2,4198.0
10,3,4242.0
10,4,15826.0
10,5,1917.0
10,6,3543.0
10,7,34261.0
10,8,7095.0
10,9,4448.0
10,10,0.0
10,11,4370.0
10,12,17267.0
10,13,3929.0
10,14,8602.0
10,15,2753.0
11,1,3559.0
11,2,2454.0
11,3,3365.0
11,4,28537.0
11,5,2253.0
11,6,2752.0
11,7,10134.0
11,8,10753.0
11,9,5076.0
11,10,4370.0
11,11,0.0
11,12,15287.0
11,13,3083.0
11,14,4092.0
11,15,7701.0
12,1,9221.0
12,2,7975.0
12,3,22254.0
12,4,65387.0
12,5,5951.0
12,6,14412.0
12,7,27350.0
12,8,30362.0
12,9,22463.0
12,10,17267.0
12,11,15287.0
12,12,0.0
12,13,5454.0
12,14,15011.0
12,15,17714.0
13,1,10099.0
13,2,1186.0
13,3,1841.0
13,4,12980.0
13,5,1890.0
13,6,2043.0
13,7,6929.0
13,8,1783.0
13,9,4783.0
13,10,3929.0
13,11,3083.0
13,12,5454.0
13,13,0.0
13,14,3251.0
13,15,1126.0
14,1,22866.0
14,2,7443.0
14,3,23665.0
14,4,44097.0
14,5,7097.0
14,6,15642.0
14,7,7961.0
14,8,3437.0
14,9,24609.0
14,10,8602.0
14,11,4092.0
14,12,15011.0
14,13,3251.0
14,14,0.0
14,15,5550.0
15,1,3388.0
15,2,1162.0
15,3,6517.0
15,4,51525.0
15,5,2009.0
15,6,5014.0
15,7,4678.0
15,8,8897.0
15,9,9969.0
15,10,2753.0
15,11,7701.0
15,12,17714.0
15,13,1126.0
15,14,5550.0
15,15,0.0
