origin,destination,distance
1,1,0.0
1,2,576.9631
1,3,946.4954
1,4,597.5972
1,5,373.8127
1,6,559.7673
1,7,709.0215
1,8,1208.328
1,9,603.6477
1,10,695.208
1,11,680.709
1,12,1936.572
1,13,332.4644
1,14,592.5679
1,15,908.7715
2,1,576.9631
2,2,0.0
2,3,369.5327
2,4,613.0386
2,5,429.1079
2,6,312.8831
2,7,1196.489
2,8,1502.14
2,9,405.8975
2,10,1241.961
2,11,960.3459
2,12,2318.076
2,13,786.5959
2,14,949.5669
2,15,938.7461
3,1,946.4954
3,2,369.5327
3,3,0.0
3,4,858.3308
3,5,749.6018
3,6,556.0706
3,7,1541.273
3,8,1764.791
3,9,621.3306
3,10,1603.165
3,11,1250.962
3,12,2600.078
3,13,1137.335
3,14,1266.851
3,15,1124.778
4,1,597.5972
4,2,613.0386
4,3,858.3308
4,4,0.0
4,5,255.0303
4,6,311.3071
4,7,790.1213
4,8,907.4331
4,9,237.0703
4,10,932.2173
4,11,406.3386
4,12,1741.873
4,13,485.5564
4,14,1186.858
4,15,345.8738
5,1,373.8127
5,2,429.1079
5,3,749.6018
5,4,255.0303
5,5,0.0
5,6,225.8954
5,7,794.1726
5,8,1080.374
5,9,238.944
5,10,879.5647
5,11,533.156
5,12,1889.528
5,13,402.3291
5,14,947.3188
5,15,598.541
6,1,559.7673
6,2,312.8831
6,3,556.0706
6,4,311.3071
6,5,225.8954
6,6,0.0
6,7,1009.689
6,8,1216.868
6,9,94.2588
6,10,1104.574
6,11,694.9153
6,12,2047.122
6,13,627.115
6,14,1084.5
6,15,626.1548
7,1,709.0215
7,2,1196.489
7,3,1541.273
7,4,790.1213
7,5,794.1726
7,6,1009.689
7,7,0.0
7,8,663.8762
7,9,982.7378
7,10,221.422
7,11,447.8044
7,12,1249.763
7,13,411.1133
7,14,1097.608
7,15,851.8228
8,1,1208.328
8,2,1502.14
8,3,1764.791
8,4,907.4331
8,5,1080.374
8,6,1216.868
8,7,663.8762
8,8,0.0
8,9,1143.791
8,10,874.5181
8,11,551.6299
8,12,841.624
8,13,880.0728
8,14,1714.651
8,15,694.0088
9,1,603.6477
9,2,405.8975
9,3,621.3306
9,4,237.0703
9,5,238.944
9,6,94.2588
9,7,982.7378
9,8,1143.791
9,9,0.0
9,10,1094.906
9,11,636.9045
9,12,1978.943
9,13,620.488
9,14,1151.868
9,15,535.0244
10,1,695.208
10,2,1241.961
10,3,1603.165
10,4,932.2173
10,5,879.5647
10,6,1104.574
10,7,221.422
10,8,874.5181
10,9,1094.906
10,10,0.0
10,11,642.2092
10,12,1375.635
10,13,477.459
10,14,963.7202
10,15,1046.119
11,1,680.709
11,2,960.3459
11,3,1250.962
11,4,406.3386
11,5,533.156
11,6,694.9153
11,7,447.8044
11,8,551.6299
11,9,636.9045
11,10,642.2092
11,11,0.0
11,12,1358.213
11,13,378.5906
11,14,1236.192
11,15,405.0906
12,1,1936.572
12,2,2318.076
12,3,2600.078
12,4,1741.873
12,5,1889.528
12,6,2047.122
12,7,1249.763
12,8,841.624
12,9,1978.943
12,10,1375.635
12,11,1358.213
12,12,0.0
12,13,1608.082
12,14,2335.816
12,15,1530.57
13,1,332.4644
13,2,786.5959
13,3,1137.335
13,4,485.5564
13,5,402.3291
13,6,627.115
13,7,411.1133
13,8,880.0728
13,9,620.488
13,10,477.459
13,11,378.5906
13,12,1608.082
13,13,0.0
13,14,858.251
13,15,700.8213
14,1,592.5679
14,2,949.5669
14,3,1266.851
14,4,1186.858
14,5,947.3188
14,6,1084.5
14,7,1097.608
14,8,1714.651
14,9,1151.868
14,10,963.7202
14,11,1236.192
14,12,2335.816
14,13,858.251
14,14,0.0
14,15,1500.774
15,1,908.7715
15,2,938.7461
15,3,1124.778
15,4,345.8738
15,5,598.541
15,6,626.1548
15,7,851.8228
15,8,694.0088
15,9,535.0244
15,10,1046.119
15,11,405.0906
15,12,1530.57
15,13,700.8213
15,14,1500.774
15,15,0.0
