origin,destination,distance
1,1,0.0
1,2,576.9631
1,3,946.4954
1,4,597.5972
1,5,373.8127
1,6,559.7673
1,7,709.0215
1,8,1208.328
1,9,603.6477
1,10,695.208
2,1,576.9631
2,2,0.0
2,3,369.5327
2,4,613.0386
2,5,429.1079
2,6,312.8831
2,7,1196.489
2,8,1502.14
2,9,405.8975
2,10,1241.961
3,1,946.4954
3,2,369.5327
3,3,0.0
3,4,858.3308
3,5,749.6018
3,6,556.0706
3,7,1541.273
3,8,1764.791
3,9,621.3306
3,10,1603.165
4,1,597.5972
4,2,613.0386
4,3,858.3308
4,4,0.0
4,5,255.0303
4,6,311.3071
4,7,790.1213
4,8,907.4331
4,9,237.0703
4,10,932.2173
5,1,373.8127
5,2,429.1079
5,3,749.6018
5,4,255.0303
5,5,0.0
5,6,225.8954
5,7,794.1726
5,8,1080.374
5,9,238.944
5,10,879.5647
6,1,559.7673
6,2,312.8831
6,3,556.0706
6,4,311.3071
6,5,225.8954
6,6,0.0
6,7,1009.689
6,8,1216.868
6,9,94.2588
6,10,1104.574
7,1,709.0215
7,2,1196.489
7,3,1541.273
7,4,790.1213
7,5,794.1726
7,6,1009.689
7,7,0.0
7,8,663.8762
7,9,982.7378
7,10,221.422
8,1,1208.328
8,2,1502.14
8,3,1764.791
8,4,907.4331
8,5,1080.374
8,6,1216.868
8,7,663.8762
8,8,0.0
8,9,1143.791
8,10,874.5181
9,1,603.6477
9,2,405.8975
9,3,621.3306
9,4,237.0703
9,5,238.944
9,6,94.2588
9,7,982.7378
9,8,1143.791
9,9,0.0
9,10,1094.906
10,1,695.208
10,2,1241.961
10,3,1603.165
10,4,932.2173
10,5,879.5647
10,6,1104.574
10,7,221.422
10,8,874.5181
10,9,1094.906
10,10,0.0
