origin,destination,flow
1,2,0.006475306948968295
1,3,0.007636437890505352
1,4,0.020055534090203858
1,5,0.004694572513628274
1,6,0.0062000388378280445
1,7,0.011699395210935451
1,8,0.002245186811954844
1,9,0.008865635128615271
1,10,0.007255066434707405
2,1,0.006475306948968295
2,3,0.013011673369862246
2,4,0.013705349009935678
2,5,0.003325238782574227
2,6,0.005581436318974681
2,7,0.003881780854552334
2,8,0.003205121788622118
2,9,0.006705531187376505
2,10,0.004202092838424626
3,1,0.007636437890505352
3,2,0.013011673369862246
3,4,0.03516925485422802
3,5,0.005961806799823027
3,6,0.014134767263314469
3,7,0.005956801925075023
3,8,0.005773623509298056
3,9,0.01659416271448391
3,10,0.004246135736207066
4,1,0.020055534090203858
4,2,0.013705349009935678
4,3,0.03516925485422802
4,5,0.0191126156876798
4,6,0.035153239255034406
4,7,0.021443886345300322
4,8,0.027368657071988118
4,9,0.05139105488746039
4,10,0.01584142955238402
5,1,0.004694572513628274
5,2,0.003325238782574227
5,3,0.005961806799823027
5,4,0.0191126156876798
5,6,0.007291101532893038
5,7,0.0031050242936620266
5,8,0.0015635228712766235
5,9,0.007187000138134543
5,10,0.0019188689783849468
6,1,0.0062000388378280445
6,2,0.005581436318974681
6,3,0.014134767263314469
6,4,0.035153239255034406
6,5,0.007291101532893038
6,7,0.005027897171845377
6,8,0.0035154240229984006
6,9,0.010429157999891895
6,10,0.003546454246436029
7,1,0.011699395210935451
7,2,0.003881780854552334
7,3,0.005956801925075023
7,4,0.021443886345300322
7,5,0.0031050242936620266
7,6,0.005027897171845377
7,8,0.011568267492537731
7,9,0.006485316698464304
7,10,0.034294402748276824
8,1,0.002245186811954844
8,2,0.003205121788622118
8,3,0.005773623509298056
8,4,0.027368657071988118
8,5,0.0015635228712766235
8,6,0.0035154240229984006
8,7,0.011568267492537731
8,9,0.005620474342009117
8,10,0.007101917267418466
9,1,0.008865635128615271
9,2,0.006705531187376505
9,3,0.01659416271448391
9,4,0.05139105488746039
9,5,0.007187000138134543
9,6,0.010429157999891895
9,7,0.006485316698464304
9,8,0.005620474342009117
9,10,0.004452336575824853
10,1,0.007255066434707405
10,2,0.004202092838424626
10,3,0.004246135736207066
10,4,0.01584142955238402
10,5,0.0019188689783849468
10,6,0.003546454246436029
10,7,0.034294402748276824
10,8,0.007101917267418466
10,9,0.004452336575824853
