origin,destination,flow
1,1,0.0
1,2,6469.0
1,3,7629.0
1,4,20036.0
1,5,4690.0
1,6,6194.0
1,7,11688.0
1,8,2243.0
1,9,8857.0
1,10,7248.0
1,11,3559.0
1,12,9221.0
1,13,10099.0
1,14,22866.0
1,15,3388.0
1,16,9986.0
1,17,46618.0
1,18,11639.0
1,19,1380.0
1,20,5261.0
1,21,5985.0
1,22,6731.0
1,23,2704.0
1,24,12250.0
1,25,16132.0
2,1,6469.0
2,2,0.0
2,3,12999.0
2,4,13692.0
2,5,3322.0
2,6,5576.0
2,7,3878.0
2,8,3202.0
2,9,6699.0
2,10,4198.0
2,11,2454.0
2,12,7975.0
2,13,1186.0
2,14,7443.0
2,15,1162.0
2,16,5105.0
2,17,24817.0
2,18,6532.0
2,19,806.0
2,20,8184.0
2,21,3896.0
2,22,7333.0
2,23,3719.0
2,24,2015.0
2,25,565.0
3,1,7629.0
3,2,12999.0
3,3,0.0
3,4,35135.0
3,5,5956.0
3,6,14121.0
3,7,5951.0
3,8,5768.0
3,9,16578.0
3,10,4242.0
3,11,3365.0
3,12,22254.0
3,13,1841.0
3,14,23665.0
3,15,6517.0
3,16,3541.0
3,17,205088.0
3,18,37669.0
3,19,2885.0
3,20,13200.0
3,21,7116.0
3,22,17165.0
3,23,4284.0
3,24,8085.0
3,25,51895.0
4,1,20036.0
4,2,13692.0
4,3,35135.0
4,4,0.0
4,5,19094.0
4,6,35119.0
4,7,21423.0
4,8,27342.0
4,9,51341.0
4,10,15826.0
4,11,28537.0
4,12,65387.0
4,13,12980.0
4,14,44097.0
4,15,51525.0
4,16,14354.0
4,17,172895.0
4,18,37305.0
4,19,15418.0
4,20,26221.0
4,21,42303.0
4,22,35303.0
4,23,13618.0
4,24,17580.0
4,25,40708.0
5,1,4690.0
5,2,3322.0
5,3,5956.0
5,4,19094.0
5,5,0.0
5,6,7284.0
5,7,3102.0
5,8,1562.0
5,9,7180.0
5,10,1917.0
5,11,2253.0
5,12,5951.0
5,13,1890.0
5,14,7097.0
5,15,2009.0
5,16,1340.0
5,17,25303.0
5,18,6031.0
5,19,1041.0
5,20,4128.0
5,21,5452.0
5,22,3344.0
5,23,1067.0
5,24,4608.0
5,25,7050.0
6,1,6194.0
6,2,5576.0
6,3,14121.0
6,4,35119.0
6,5,7284.0
6,6,0.0
6,7,5023.0
6,8,3512.0
6,9,10419.0
6,10,3543.0
6,11,2752.0
6,12,14412.0
6,13,2043.0
6,14,15642.0
6,15,5014.0
6,16,2016.0
6,17,62034.0
6,18,15385.0
6,19,2957.0
6,20,5035.0
6,21,7482.0
6,22,6758.0
6,23,2191.0
6,24,6599.0
6,25,14181.0
7,1,11688.0
7,2,3878.0
7,3,5951.0
7,4,21423.0
7,5,3102.0
7,6,5023.0
7,7,0.0
7,8,11557.0
7,9,6479.0
7,10,34261.0
7,11,10134.0
7,12,27350.0
7,13,6929.0
7,14,7961.0
7,15,4678.0
7,16,13511.0
7,17,29801.0
7,18,7549.0
7,19,5550.0
7,20,3089.0
7,21,9958.0
7,22,14110.0
7,23,4911.0
7,24,2722.0
7,25,10802.0
8,1,2243.0
8,2,3202.0
8,3,5768.0
8,4,27342.0
8,5,1562.0
8,6,3512.0
8,7,11557.0
8,8,0.0
8,9,5615.0
8,10,7095.0
8,11,10753.0
8,12,30362.0
8,13,1783.0
8,14,3437.0
8,15,8897.0
8,16,2509.0
8,17,23273.0
8,18,5160.0
8,19,8750.0
8,20,2583.0
8,21,7288.0
8,22,17481.0
8,23,7930.0
8,24,1278.0
8,25,8447.0
9,1,8857.0
9,2,6699.0
9,3,16578.0
9,4,51341.0
9,5,7180.0
9,6,10419.0
9,7,6479.0
9,8,5615.0
9,9,0.0
9,10,4448.0
9,11,5076.0
9,12,22463.0
9,13,4783.0
9,14,24609.0
9,15,9969.0
9,16,4224.0
9,17,79945.0
9,18,20001.0
9,19,4291.0
9,20,10604.0
9,21,11925.0
9,22,13091.0
9,23,4172.0
9,24,12891.0
9,25,19500.0
10,1,7248.0
10,2,4198.0
10,3,4242.0
10,4,15826.0
10,5,1917.0
10,6,3543.0
10,7,34261.0
10,8,7095.0
10,9,4448.0
10,10,0.0
10,11,4370.0
10,12,17267.0
10,13,3929.0
10,14,8602.0
10,15,2753.0
10,16,20013.0
10,17,28080.0
10,18,5971.0
10,19,2131.0
10,20,3579.0
10,21,6809.0
10,22,8455.0
10,23,2868.0
10,24,2336.0
10,25,5616.0
11,1,3559.0
11,2,2454.0
11,3,3365.0
11,4,28537.0
11,5,2253.0
11,6,2752.0
11,7,10134.0
11,8,10753.0
11,9,5076.0
11,10,4370.0
11,11,0.0
11,12,15287.0
11,13,3083.0
11,14,4092.0
11,15,7701.0
11,16,2809.0
11,17,17291.0
11,18,4462.0
11,19,3239.0
11,20,2309.0
11,21,16003.0
11,22,8381.0
11,23,3033.0
11,24,1755.0
11,25,7266.0
12,1,9221.0
12,2,7975.0
12,3,22254.0
12,4,65387.0
12,5,5951.0
12,6,14412.0
12,7,27350.0
12,8,30362.0
12,9,22463.0
12,10,17267.0
12,11,15287.0
12,12,0.0
12,13,5454.0
12,14,15011.0
12,15,17714.0
12,16,10037.0
12,17,105507.0
12,18,20040.0
12,19,31780.0
12,20,10822.0
12,21,16450.0
12,22,92083.0
12,23,32908.0
12,24,3865.0
12,25,24583.0
13,1,10099.0
13,2,1186.0
13,3,1841.0
13,4,12980.0
13,5,1890.0
13,6,2043.0
13,7,6929.0
13,8,1783.0
13,9,4783.0
13,10,3929.0
13,11,3083.0
13,12,5454.0
13,13,0.0
13,14,3251.0
13,15,1126.0
13,16,5926.0
13,17,10653.0
13,18,3062.0
13,19,759.0
13,20,1255.0
13,21,6173.0
13,22,2974.0
13,23,1056.0
13,24,1504.0
13,25,4588.0
14,1,22866.0
14,2,7443.0
14,3,23665.0
14,4,44097.0
14,5,7097.0
14,6,15642.0
14,7,7961.0
14,8,3437.0
14,9,24609.0
14,10,8602.0
14,11,4092.0
14,12,15011.0
14,13,3251.0
14,14,0.0
14,15,5550.0
14,16,9473.0
14,17,169397.0
14,18,25073.0
14,19,1170.0
14,20,14272.0
14,21,8543.0
14,22,8064.0
14,23,1840.0
14,24,20618.0
14,25,20937.0
15,1,3388.0
15,2,1162.0
15,3,6517.0
15,4,51525.0
15,5,2009.0
15,6,5014.0
15,7,4678.0
15,8,8897.0
15,9,9969.0
15,10,2753.0
15,11,7701.0
15,12,17714.0
15,13,1126.0
15,14,5550.0
15,15,0.0
15,16,2152.0
15,17,26816.0
15,18,6931.0
15,19,4947.0
15,20,2676.0
15,21,8033.0
15,22,12692.0
15,23,6157.0
15,24,3065.0
15,25,12044.0
16,1,9986.0
16,2,5105.0
16,3,3541.0
16,4,14354.0
16,5,1340.0
16,6,2016.0
16,7,13511.0
16,8,2509.0
16,9,4224.0
16,10,20013.0
16,11,2809.0
16,12,10037.0
16,13,5926.0
16,14,9473.0
16,15,2152.0
16,16,0.0
16,17,21806.0
16,18,4519.0
16,19,886.0
16,20,1742.0
16,21,4782.0
16,22,6453.0
16,23,2022.0
16,24,3546.0
16,25,5065.0
17,1,46618.0
17,2,24817.0
17,3,205088.0
17,4,172895.0
17,5,25303.0
17,6,62034.0
17,7,29801.0
17,8,23273.0
17,9,79945.0
17,10,28080.0
17,11,17291.0
17,12,105507.0
17,13,10653.0
17,14,169397.0
17,15,26816.0
17,16,21806.0
17,17,0.0
17,18,9040.0
17,19,11139.0
17,20,63153.0
17,21,34092.0
17,22,70935.0
17,23,14957.0
17,24,28398.0
17,25,166694.0
18,1,11639.0
18,2,6532.0
18,3,37669.0
18,4,37305.0
18,5,6031.0
18,6,15385.0
18,7,7549.0
18,8,5160.0
18,9,20001.0
18,10,5971.0
18,11,4462.0
18,12,20040.0
18,13,3062.0
18,14,25073.0
18,15,6931.0
18,16,4519.0
18,17,9040.0
18,18,0.0
18,19,2802.0
18,20,30224.0
18,21,7982.0
18,22,14964.0
18,23,4589.0
18,24,6227.0
18,25,12359.0
19,1,1380.0
19,2,806.0
19,3,2885.0
19,4,15418.0
19,5,1041.0
19,6,2957.0
19,7,5550.0
19,8,8750.0
19,9,4291.0
19,10,2131.0
19,11,3239.0
19,12,31780.0
19,13,759.0
19,14,1170.0
19,15,4947.0
19,16,886.0
19,17,11139.0
19,18,2802.0
19,19,0.0
19,20,1869.0
19,21,3716.0
19,22,11510.0
19,23,3519.0
