node_id,x,y,name,cab_original_index
1,-389.44545135593995,-279.0427365201563,CAB node 1,1
2,-736.6644648239796,181.74495249175297,CAB node 2,2
3,-958.435940205648,477.3322961536056,CAB node 3,3
4,-128.45615830064267,258.55098416104767,CAB node 4,4
5,-317.9507222387076,87.8691730103226,CAB node 5,5
6,-439.12256612550055,278.5160744158992,CAB node 6,6
7,309.31918390266765,-399.205995355658,CAB node 7,7
8,762.4215977582854,86.00536362929205,CAB node 8,8
9,-356.39889072211577,323.6999188265741,CAB node 9,9
10,225.1401124634312,-604.002683033354,CAB node 10,10
11,212.87638770623033,38.08979104811348,CAB node 11,11
12,1546.2420229062952,-220.51752452566038,CAB node 12,12
13,-61.83928351516238,-222.41392999516728,CAB node 13,13
14,-724.5681022009361,-767.7448033988655,CAB node 14,14
15,165.73670979101328,440.4281801094732,CAB node 15,15
16,-78.3070805774078,-570.2968802483414,CAB node 16,16
17,-845.9632755172737,323.8072781360349,CAB node 17,17
18,-803.7552645882549,250.7929854422345,CAB node 18,18
19,1200.3853252995461,-314.41575080280813,CAB node 19,19
20,-531.2274648046237,228.8392464819849,CAB node 20,20
21,-16.409845856040512,28.50436570620886,CAB node 21,21
22,1718.1542798645335,97.53341522018344,CAB node 22,22
23,1528.6794674399682,766.1411137279274,CAB node 23,23
24,-568.9846079348214,-645.5997163952742,CAB node 24,24
25,-711.4259683649148,155.38488171463268,CAB node 25,25
