node_id,x,y,name,cab_original_index
1,-219.27857038548117,-322.8015627472985,CAB node 1,1
2,-669.1747484730628,38.418304632875824,CAB node 2,2
3,-956.8415997031874,270.37166440117704,CAB node 3,3
4,-98.54729657052246,262.47289803334945,CAB node 4,4
5,-240.23458843512407,50.423199450865035,CAB node 5,5
6,-404.57937209374535,205.40579592379672,CAB node 6,6
7,487.5740192729993,-267.3887497982603,CAB node 7,7
8,807.400866284876,314.3695115873021,CAB node 8,8
9,-335.5118460904019,269.5499597134591,CAB node 9,9
10,456.35773239166843,-486.5995237462802,CAB node 10,10
11,286.52719730674613,132.74735123975594,CAB node 11,11
12,1642.537098084678,210.07122318624252,CAB node 12,12
13,84.33196762987572,-187.32725438708817,CAB node 13,13
14,-423.8921116354096,-878.9222684408286,CAB node 14,14
15,141.86744452863422,511.12799747598774,CAB node 15,15
16,153.94334906064574,-528.5719885741785,CAB node 16,16
17,-810.0603836117493,149.22974355175668,CAB node 17,17
18,-751.1889894517836,88.84133519289581,CAB node 18,18
19,1330.4043892059613,33.9832891610923,CAB node 19,19
20,-481.6345573156169,134.59907414337763,CAB node 20,20
